weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,wind.gust,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,rain.1h,message,snow.1h
"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",stations,4023.0,1641816744.0,-18000.0,5122534.0,Jamestown,200,-79.2353,42.097,16.9,4.3,15.44,18.72,1022.0,59.0,11.99,228.0,17.0,100.0,2.0,2008828.0,US,1641818666.0,1641852246.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1641817012.0,3600.0,2527087.0,Tiznit Province,200,-9.5,29.5833,62.19,59.04,62.19,62.19,1022.0,20.0,3.18,341.0,2.13,100.0,,,MA,1641800038.0,1641837393.0,1022.0,956.0,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1641817013.0,-32400.0,4030556.0,Rikitea,200,-134.9692,-23.1203,76.78,77.88,76.78,76.78,1020.0,79.0,14.74,95.0,16.35,100.0,,,PF,1641824626.0,1641873046.0,1020.0,1017.0,0.1,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1641817014.0,0.0,2374583.0,Bubaque,200,-15.8333,11.2833,80.67,80.78,80.67,80.67,1013.0,44.0,21.68,26.0,31.94,80.0,,,GW,1641799523.0,1641840948.0,1013.0,1010.0,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817016.0,46800.0,2180815.0,Tuatapere,200,167.6833,-46.1333,59.83,59.97,59.83,59.83,1018.0,95.0,1.63,268.0,1.9,97.0,2.0,2008959.0,NZ,1641834732.0,1641890474.0,1018.0,1015.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1641816936.0,-10800.0,3394023.0,Natal,200,-35.2094,-5.795,84.42,92.82,83.05,84.42,1012.0,74.0,14.97,130.0,,75.0,1.0,8417.0,BR,1641802508.0,1641847266.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817019.0,46800.0,2206939.0,Bluff,200,168.3333,-46.6,59.81,59.77,59.81,59.81,1017.0,91.0,3.8,202.0,5.5,92.0,2.0,2008959.0,NZ,1641834468.0,1641890427.0,1017.0,1014.0,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,10000.0,1641817020.0,14400.0,934479.0,Grand Gaube,200,57.6608,-20.0064,77.38,78.91,77.38,81.0,1012.0,87.0,3.0,49.0,5.01,100.0,2.0,2002134.0,MU,1641778732.0,1641826452.0,,,0.76,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817021.0,-18000.0,4231997.0,Avera,200,-82.5271,33.194,49.42,46.29,45.91,51.67,1023.0,90.0,7.47,19.0,14.0,97.0,1.0,2827.0,US,1641818046.0,1641854447.0,1023.0,1006.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817022.0,46800.0,6201424.0,Mataura,200,168.8643,-46.1927,59.49,59.32,59.49,59.49,1017.0,89.0,1.34,308.0,2.3,98.0,2.0,2008959.0,NZ,1641834435.0,1641890205.0,1017.0,1011.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,8047.0,1641816859.0,-21600.0,3533462.0,Acapulco de Juárez,200,-99.8901,16.8634,71.42,72.39,71.42,71.42,1014.0,88.0,0.0,0.0,,0.0,1.0,7103.0,MX,1641820271.0,1641860559.0,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1641817025.0,7200.0,293842.0,Kiryat Gat,200,34.7642,31.61,63.72,61.72,62.91,63.81,1013.0,41.0,11.77,240.0,13.44,0.0,2.0,2002441.0,IL,1641789681.0,1641826497.0,1013.0,998.0,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,10000.0,1641817026.0,7200.0,932960.0,Werda,200,23.2833,-25.2667,73.96,74.25,73.96,73.96,1008.0,68.0,5.64,168.0,6.35,95.0,,,BW,1641786368.0,1641835322.0,1008.0,897.0,0.2,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1641817028.0,-3600.0,3374210.0,São Filipe,200,-24.4956,14.8961,72.81,73.22,72.81,72.81,1016.0,73.0,8.14,23.0,7.72,90.0,,,CV,1641801969.0,1641842661.0,1016.0,1004.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1641817030.0,-18000.0,4944903.0,Nantucket,200,-70.0995,41.2835,33.84,21.9,29.97,35.71,1014.0,48.0,21.85,310.0,29.93,0.0,1.0,3218.0,US,1641816328.0,1641850198.0,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1641817031.0,46800.0,2190299.0,Hanmer Springs,200,172.8167,-42.5167,59.5,59.25,59.5,59.5,1019.0,87.0,4.5,327.0,3.44,1.0,,,NZ,1641834270.0,1641888472.0,1019.0,972.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817032.0,-18000.0,5106841.0,Albany,200,-73.9662,42.6001,20.44,20.44,16.72,23.27,1015.0,67.0,1.01,313.0,11.99,87.0,2.0,19530.0,US,1641817494.0,1641850889.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817033.0,36000.0,2094342.0,Kavieng,200,150.7967,-2.5744,82.15,88.14,82.15,82.15,1011.0,76.0,3.65,332.0,5.5,97.0,,,PG,1641758168.0,1641802299.0,1011.0,1009.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1641817034.0,3600.0,237379.0,Ndélé,200,20.6473,8.4109,97.74,92.91,97.74,97.74,1005.0,12.0,5.93,17.0,7.87,60.0,,,CF,1641790481.0,1641832475.0,1005.0,951.0,,,
