weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,message,rain.1h
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627749724.0,-36000.0,5855927.0,Hilo,200,-155.09,19.7297,70.41,71.2,69.53,73.8,1018.0,86.0,6.91,250.0,1.0,1.0,7881.0,US,1627746958.0,1627793839.0,,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627749725.0,7200.0,2729907.0,Longyearbyen,200,15.6401,78.2186,44.44,38.21,44.44,44.44,1008.0,70.0,12.66,100.0,75.0,1.0,1663.0,SJ,0.0,0.0,,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1627749727.0,21600.0,1524325.0,Ekibastuz,200,75.3667,51.6667,73.45,72.19,73.45,73.45,1010.0,36.0,12.19,198.0,26.0,,,KZ,1627687194.0,1627742987.0,1010.0,986.0,24.96,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627749728.0,7200.0,1015776.0,Bredasdorp,200,20.0403,-34.5322,56.52,55.72,54.28,56.52,1023.0,82.0,3.44,140.0,94.0,1.0,1966.0,ZA,1627709651.0,1627747086.0,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627749729.0,-10800.0,3874787.0,Punta Arenas,200,-70.9167,-53.15,41.11,33.62,41.02,41.11,1010.0,60.0,13.8,10.0,0.0,1.0,8487.0,CL,1627734443.0,1627765952.0,,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627749730.0,25200.0,1490256.0,Talnakh,200,88.3972,69.4865,54.7,53.53,54.7,54.7,1009.0,78.0,14.05,141.0,63.0,,,RU,1627674079.0,1627749848.0,1009.0,1001.0,27.31,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627749579.0,28800.0,2075265.0,Busselton,200,115.3333,-33.65,51.04,49.46,51.04,51.08,1008.0,77.0,29.68,263.0,90.0,2.0,2020551.0,AU,1627773045.0,1627810748.0,1008.0,1007.0,43.42,,
"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,6700.0,1627749733.0,0.0,3412093.0,Vestmannaeyjar,200,-20.2734,63.4427,54.59,53.83,54.59,54.59,1015.0,87.0,20.71,120.0,90.0,1.0,93.0,IS,1627705935.0,1627770152.0,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627749601.0,-14400.0,5106841.0,Albany,200,-73.9662,42.6001,67.66,66.47,63.73,71.82,1014.0,50.0,8.12,302.0,18.0,2.0,19530.0,US,1627724815.0,1627777044.0,,,12.8,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,
