weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.country,sys.sunrise,sys.sunset,sys.type,sys.id,message,rain.1h,snow.1h
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627669518.0,-18000.0,3521894.0,Paredon,200,-93.8667,16.0333,303.6,307.78,303.6,303.6,1012.0,64.0,1012.0,1011.0,1.38,216.0,1.67,100.0,MX,1627646172.0,1627692444.0,,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627669518.0,-18000.0,6165406.0,Thompson,200,-97.8558,55.7435,296.24,295.81,296.24,296.24,1014.0,46.0,,,4.12,330.0,10.29,40.0,CA,1627641219.0,1627699311.0,1.0,935.0,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627669518.0,-14400.0,5106841.0,Albany,200,-73.9662,42.6001,295.96,295.68,293.45,297.74,1009.0,53.0,,,0.45,327.0,2.68,44.0,US,1627638353.0,1627690710.0,2.0,19530.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,9954.0,1627669518.0,28800.0,2075265.0,Busselton,200,115.3333,-33.65,279.29,275.59,279.29,279.31,1009.0,77.0,1009.0,1008.0,5.76,238.0,9.9,83.0,AU,1627686692.0,1627724305.0,2.0,2020551.0,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627669518.0,36000.0,2122605.0,Okhotsk,200,143.3,59.3833,284.36,283.31,284.36,284.36,1015.0,68.0,1015.0,1015.0,1.46,12.0,1.54,100.0,RU,1627668522.0,1627729052.0,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,8984.0,1627669518.0,-7200.0,3424607.0,Tasiilaq,200,-37.6368,65.6145,286.24,285.64,286.24,286.24,1018.0,78.0,1018.0,1013.0,0.37,239.0,1.28,19.0,GL,1627622078.0,1627689548.0,1.0,81.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627669518.0,32400.0,2012530.0,Zhigansk,200,123.3711,66.7697,287.81,286.43,287.81,287.81,1016.0,42.0,1016.0,1011.0,2.94,351.0,2.99,8.0,RU,1627669006.0,1627738134.0,,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627669300.0,-21600.0,6185377.0,Yellowknife,200,-114.3525,62.456,294.64,294.52,293.46,295.55,1018.0,64.0,,,0.89,342.0,0.0,75.0,CA,1627642524.0,1627705924.0,2.0,19346.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627669519.0,36000.0,2175403.0,Blackwater,200,148.8833,-23.5833,287.54,287.49,287.54,287.54,1019.0,94.0,1019.0,997.0,3.18,88.0,5.17,7.0,AU,1627677610.0,1627717284.0,,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1627669519.0,18000.0,1513990.0,Gazli,200,63.45,40.1333,302.78,300.99,302.78,302.78,1008.0,12.0,1008.0,987.0,6.79,22.0,11.85,38.0,UZ,1627605732.0,1627657373.0,,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627669447.0,-14400.0,5122534.0,Jamestown,200,-79.2353,42.097,292.65,292.41,290.95,296.09,1017.0,67.0,,,3.13,318.0,5.36,75.0,US,1627639699.0,1627691893.0,2.0,2008828.0,,,
